date,G,PG,PG-13,R,Not Rated,20th Century Fox,All Others,Lionsgate,Paramount Pictures,Sony Pictures,STX Entertainment,Universal,Walt Disney,Warner Bros.,daily_total
1/1/2018,0,12646156,38278692,7606682,3426,9235383,4045656,1020395,1826956,17997379,804057,4865865,17189751,1549514,58534956
1/2/2018,0,8775085,23252467,4395751,2181,6396220,2367879,727240,1086119,11250753,441091,3396990,9799624,959568,36425484
1/3/2018,0,6194410,15819522,3438850,1957,4515643,2050800,518494,753946,7698007,377482,2265195,6609749,665423,25454739
1/4/2018,0,5480501,13488178,2755866,2047,4017855,1719589,431663,572544,6683408,323102,1928435,5573508,476488,21726592
1/5/2018,0,8738712,36292347,7024098,4101,7057439,4464334,735014,796123,11856732,2299305,16053460,8211780,585071,52059258
1/6/2018,0,12372234,45964639,9940387,4308,10043790,6521151,1004477,1170630,17472128,2912353,15471270,12792280,893489,68281568
1/7/2018,0,8284135,28486851,6295838,3842,6516031,4324579,642155,709051,11681576,1726827,8354970,8622475,493002,43070666
1/8/2018,0,2529637,7835896,2542328,981,2037879,1958388,188444,238408,3001153,559486,2453855,2307832,163397,12908842
1/9/2018,0,3139298,10450881,3670185,1615,2629543,2704840,235745,332936,4103073,936138,3184635,2912260,222809,17261979
1/10/2018,0,2157883,7095840,3065582,1806,1849838,2377246,171131,244810,2646752,701049,2025580,2134344,170361,12321111
1/11/2018,0,2025410,6787535,2504133,1187,1736759,2092204,154522,166616,2484958,589398,1939505,2028024,126279,11318265
1/12/2018,0,7052846,25697176,8079083,9268,9629140,4746950,4847056,127598,9651426,1068279,4859250,3381933,2526741,40838373
1/13/2018,0,13355742,39623000,11034109,17476,14253604,6813468,5778789,214121,16456776,1573272,7602100,6539761,4798436,64030327
1/14/2018,0,11491902,32123088,8839453,16488,11733194,5806279,4534357,159835,13318656,1230756,5952765,5635624,4099465,52470931
1/15/2018,0,10825726,20265206,5510131,5163,8789748,3798522,2551812,94299,9119577,746172,3266600,4149923,4089573,36606226
1/16/2018,0,2804019,9184458,2706468,7000,3845859,1815731,1558924,50763,3310234,484311,1441780,1413228,781115,14701945
1/17/2018,0,2072030,6592257,2154564,4842,2874590,1609395,1043242,40934,2204332,388994,1005865,1095657,560684,10823693
1/18/2018,0,2097130,6495278,2073564,3025,3004641,1627581,999922,39345,2120198,337628,928585,1057837,553260,10668997
1/19/2018,0,8348283,15615607,16590026,4075,6854947,7151026,2140357,70619,6002571,6127008,2650220,2059023,7502220,40557991
1/20/2018,0,12882495,27327035,21139605,5738,11474450,8776048,3419526,134222,11472920,6818186,4228935,4170433,10860153,61354873
1/21/2018,0,7469637,13850621,11221723,7095,5899757,4798853,1656797,75871,6071095,3883091,2017085,2471167,5675360,32549076
1/22/2018,0,1790324,4204489,4407291,1683,1955374,1913383,581654,19881,1521180,1466093,565140,686284,1694798,10403787
1/23/2018,0,2647912,6161495,6121259,3112,2982927,3031441,897885,26266,2194145,1789914,785930,867040,2358230,14933778
1/24/2018,0,1801936,4369544,4717934,1704,2152949,2708786,579894,21025,1404509,1242433,552670,675710,1553142,10891118
1/25/2018,0,1872283,4230610,4366561,508452,2127458,2637627,550462,528185,1387204,1158644,514140,659103,1415083,10977906
